State,Action,NextState
"(4378.5, 22.0, 4378.75, 23.0)",WAIT,"(4378.5, 22.0, 4378.75, 27.0)"
"(4378.5, 22.0, 4378.75, 27.0)",WAIT,"(4378.5, 23.0, 4378.75, 27.0)"
"(4378.5, 23.0, 4378.75, 27.0)",WAIT,"(4378.5, 26.0, 4378.75, 27.0)"
"(4378.5, 26.0, 4378.75, 27.0)",WAIT,"(4378.5, 26.0, 4378.75, 26.0)"
"(4378.5, 26.0, 4378.75, 26.0)",WAIT,"(4378.5, 26.0, 4378.75, 22.0)"
"(4378.5, 26.0, 4378.75, 22.0)",WAIT,"(4378.5, 26.0, 4378.75, 21.0)"
"(4378.5, 26.0, 4378.75, 21.0)",WAIT,"(4378.5, 26.0, 4378.75, 20.0)"
"(4378.5, 26.0, 4378.75, 20.0)",WAIT,"(4378.5, 30.0, 4378.75, 20.0)"
"(4378.5, 30.0, 4378.75, 20.0)",WAIT,"(4378.5, 30.0, 4378.75, 21.0)"
"(4378.5, 30.0, 4378.75, 21.0)",WAIT,"(4378.5, 27.0, 4378.75, 21.0)"
"(4378.5, 27.0, 4378.75, 21.0)",WAIT,"(4378.5, 23.0, 4378.75, 21.0)"
"(4378.5, 23.0, 4378.75, 21.0)",WAIT,"(4378.5, 23.0, 4378.75, 22.0)"
"(4378.5, 23.0, 4378.75, 22.0)",WAIT,"(4378.5, 23.0, 4378.75, 23.0)"
"(4378.5, 23.0, 4378.75, 23.0)",WAIT,"(4378.5, 23.0, 4378.75, 27.0)"
"(4378.5, 23.0, 4378.75, 27.0)",WAIT,"(4378.5, 22.0, 4378.75, 27.0)"
"(4378.5, 22.0, 4378.75, 27.0)",WAIT,"(4378.5, 23.0, 4378.75, 27.0)"
"(4378.5, 23.0, 4378.75, 27.0)",WAIT,"(4378.5, 23.0, 4378.75, 26.0)"
"(4378.5, 23.0, 4378.75, 26.0)",WAIT,"(4378.5, 22.0, 4378.75, 26.0)"
"(4378.5, 22.0, 4378.75, 26.0)",WAIT,"(4378.5, 22.0, 4378.75, 29.0)"
"(4378.5, 22.0, 4378.75, 29.0)",WAIT,"(4378.5, 21.0, 4378.75, 29.0)"
"(4378.5, 21.0, 4378.75, 29.0)",WAIT,"(4378.5, 20.0, 4378.75, 29.0)"
"(4378.5, 20.0, 4378.75, 29.0)",WAIT,"(4378.5, 19.0, 4378.75, 29.0)"
"(4378.5, 19.0, 4378.75, 29.0)",WAIT,"(4378.5, 19.0, 4378.75, 30.0)"
"(4378.5, 19.0, 4378.75, 30.0)",WAIT,"(4378.5, 18.0, 4378.75, 30.0)"
"(4378.5, 18.0, 4378.75, 30.0)",WAIT,"(4378.5, 17.0, 4378.75, 30.0)"
"(4378.5, 17.0, 4378.75, 30.0)",WAIT,"(4378.5, 16.0, 4378.75, 30.0)"
"(4378.5, 16.0, 4378.75, 30.0)",WAIT,"(4378.5, 15.0, 4378.75, 30.0)"
"(4378.5, 15.0, 4378.75, 30.0)",WAIT,"(4378.5, 15.0, 4378.75, 32.0)"
"(4378.5, 15.0, 4378.75, 32.0)",WAIT,"(4378.5, 14.0, 4378.75, 32.0)"
"(4378.5, 14.0, 4378.75, 32.0)",WAIT,"(4378.5, 14.0, 4378.75, 33.0)"
"(4378.5, 14.0, 4378.75, 33.0)",WAIT,"(4378.5, 10.0, 4378.75, 33.0)"
"(4378.5, 10.0, 4378.75, 33.0)",WAIT,"(4378.5, 8.0, 4378.75, 33.0)"
"(4378.5, 8.0, 4378.75, 33.0)",WAIT,"(4378.5, 8.0, 4378.75, 34.0)"
"(4378.5, 8.0, 4378.75, 34.0)",WAIT,"(4378.5, 8.0, 4378.75, 35.0)"
"(4378.5, 8.0, 4378.75, 35.0)",WAIT,"(4378.5, 8.0, 4378.75, 36.0)"
"(4378.5, 8.0, 4378.75, 36.0)",WAIT,"(4378.5, 8.0, 4378.75, 38.0)"
"(4378.5, 8.0, 4378.75, 38.0)",WAIT,"(4378.5, 8.0, 4378.75, 38.0)"
"(4378.5, 8.0, 4378.75, 38.0)",SELL,"(4378.25, 41.0, 4378.75, 38.0)"
"(4378.25, 41.0, 4378.75, 38.0)",WAIT,"(4378.25, 41.0, 4378.5, 1.0)"
"(4378.25, 41.0, 4378.5, 1.0)",WAIT,"(4378.25, 41.0, 4378.5, 2.0)"
"(4378.25, 41.0, 4378.5, 2.0)",WAIT,"(4378.25, 41.0, 4378.5, 3.0)"
"(4378.25, 41.0, 4378.5, 3.0)",WAIT,"(4378.25, 41.0, 4378.5, 4.0)"
"(4378.25, 41.0, 4378.5, 4.0)",WAIT,"(4378.25, 41.0, 4378.5, 6.0)"
"(4378.25, 41.0, 4378.5, 6.0)",WAIT,"(4378.25, 42.0, 4378.5, 6.0)"
"(4378.25, 42.0, 4378.5, 6.0)",WAIT,"(4378.25, 43.0, 4378.5, 6.0)"
"(4378.25, 43.0, 4378.5, 6.0)",WAIT,"(4378.25, 43.0, 4378.5, 9.0)"
"(4378.25, 43.0, 4378.5, 9.0)",WAIT,"(4378.25, 43.0, 4378.5, 9.0)"
"(4378.25, 43.0, 4378.5, 9.0)",SELL,"(4378.25, 43.0, 4378.5, 5.0)"
"(4378.25, 43.0, 4378.5, 5.0)",WAIT,"(4378.25, 43.0, 4378.5, 6.0)"
"(4378.25, 43.0, 4378.5, 6.0)",WAIT,"(4378.25, 43.0, 4378.5, 7.0)"
"(4378.25, 43.0, 4378.5, 7.0)",WAIT,"(4378.25, 42.0, 4378.5, 7.0)"
"(4378.25, 42.0, 4378.5, 7.0)",WAIT,"(4378.25, 42.0, 4378.5, 5.0)"
"(4378.25, 42.0, 4378.5, 5.0)",WAIT,"(4378.25, 42.0, 4378.5, 5.0)"
"(4378.25, 42.0, 4378.5, 5.0)",SELL,"(4378.25, 42.0, 4378.75, 44.0)"
"(4378.25, 42.0, 4378.75, 44.0)",WAIT,"(4378.25, 43.0, 4378.75, 44.0)"
"(4378.25, 43.0, 4378.75, 44.0)",WAIT,"(4378.5, 1.0, 4378.75, 44.0)"
"(4378.5, 1.0, 4378.75, 44.0)",WAIT,"(4378.5, 2.0, 4378.75, 44.0)"
"(4378.5, 2.0, 4378.75, 44.0)",WAIT,"(4378.5, 3.0, 4378.75, 44.0)"
"(4378.5, 3.0, 4378.75, 44.0)",WAIT,"(4378.5, 4.0, 4378.75, 44.0)"
"(4378.5, 4.0, 4378.75, 44.0)",WAIT,"(4378.5, 6.0, 4378.75, 44.0)"
"(4378.5, 6.0, 4378.75, 44.0)",WAIT,"(4378.5, 5.0, 4378.75, 44.0)"
"(4378.5, 5.0, 4378.75, 44.0)",WAIT,"(4378.5, 5.0, 4378.75, 44.0)"
"(4378.5, 5.0, 4378.75, 44.0)",SELL,"(4378.25, 44.0, 4378.75, 44.0)"
"(4378.25, 44.0, 4378.75, 44.0)",WAIT,"(4378.25, 44.0, 4378.75, 43.0)"
"(4378.25, 44.0, 4378.75, 43.0)",WAIT,"(4378.25, 43.0, 4378.75, 43.0)"
"(4378.25, 43.0, 4378.75, 43.0)",WAIT,"(4378.25, 43.0, 4378.5, 1.0)"
"(4378.25, 43.0, 4378.5, 1.0)",WAIT,"(4378.25, 43.0, 4378.5, 2.0)"
"(4378.25, 43.0, 4378.5, 2.0)",WAIT,"(4378.25, 43.0, 4378.5, 4.0)"
"(4378.25, 43.0, 4378.5, 4.0)",WAIT,"(4378.25, 44.0, 4378.5, 4.0)"
"(4378.25, 44.0, 4378.5, 4.0)",WAIT,"(4378.25, 44.0, 4378.5, 4.0)"
"(4378.25, 44.0, 4378.5, 4.0)",SELL,"(4378.25, 44.0, 4378.5, 2.0)"
"(4378.25, 44.0, 4378.5, 2.0)",WAIT,"(4378.25, 44.0, 4378.75, 44.0)"
"(4378.25, 44.0, 4378.75, 44.0)",WAIT,"(4378.25, 43.0, 4378.75, 44.0)"
"(4378.25, 43.0, 4378.75, 44.0)",WAIT,"(4378.25, 44.0, 4378.75, 44.0)"
"(4378.25, 44.0, 4378.75, 44.0)",WAIT,"(4378.25, 45.0, 4378.75, 44.0)"
"(4378.25, 45.0, 4378.75, 44.0)",WAIT,"(4378.25, 45.0, 4378.5, 1.0)"
"(4378.25, 45.0, 4378.5, 1.0)",WAIT,"(4378.25, 44.0, 4378.5, 1.0)"
"(4378.25, 44.0, 4378.5, 1.0)",WAIT,"(4378.25, 43.0, 4378.5, 1.0)"
"(4378.25, 43.0, 4378.5, 1.0)",WAIT,"(4378.25, 44.0, 4378.5, 1.0)"
"(4378.25, 44.0, 4378.5, 1.0)",WAIT,"(4378.25, 44.0, 4378.75, 43.0)"
"(4378.25, 44.0, 4378.75, 43.0)",WAIT,"(4378.25, 45.0, 4378.75, 43.0)"
"(4378.25, 45.0, 4378.75, 43.0)",WAIT,"(4378.25, 45.0, 4378.75, 44.0)"
"(4378.25, 45.0, 4378.75, 44.0)",WAIT,"(4378.25, 45.0, 4378.75, 45.0)"
"(4378.25, 45.0, 4378.75, 45.0)",WAIT,"(4378.25, 45.0, 4378.75, 46.0)"
"(4378.25, 45.0, 4378.75, 46.0)",WAIT,"(4378.25, 45.0, 4378.75, 45.0)"
"(4378.25, 45.0, 4378.75, 45.0)",WAIT,"(4378.25, 45.0, 4378.75, 44.0)"
"(4378.25, 45.0, 4378.75, 44.0)",WAIT,"(4378.25, 45.0, 4378.75, 45.0)"
"(4378.25, 45.0, 4378.75, 45.0)",WAIT,"(4378.25, 44.0, 4378.75, 45.0)"
"(4378.25, 44.0, 4378.75, 45.0)",WAIT,"(4378.25, 44.0, 4378.75, 46.0)"
"(4378.25, 44.0, 4378.75, 46.0)",WAIT,"(4378.25, 44.0, 4378.75, 47.0)"
"(4378.25, 44.0, 4378.75, 47.0)",WAIT,"(4378.25, 44.0, 4378.5, 1.0)"
"(4378.25, 44.0, 4378.5, 1.0)",WAIT,"(4378.25, 45.0, 4378.5, 1.0)"
